ID_numeric,fixed_name,filepath,loadImg,type_score,label,label_complexity,is_monster
20,buggo,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/buggo.png,<Surface(64x64x32 SW)>,0,tufflebore,5,1
16,gobbler,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/gobbler.png,<Surface(64x64x32 SW)>,0,pef,2,1
41,pastafarianism,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/pastafarianism.png,<Surface(64x64x32 SW)>,0,chiffa,3,1
3,monkey,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/monkey.png,<Surface(64x64x32 SW)>,0,pluff,2,0
37,slime,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/slime.png,<Surface(64x64x32 SW)>,0,mekky,3,1
10,toucan,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/toucan.png,<Surface(64x64x32 SW)>,0,jix,2,0
1,giraffe,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/giraffe.png,<Surface(64x64x32 SW)>,0,biple,3,0
44,koala,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/koala.png,<Surface(64x64x32 SW)>,0,pengimera,6,0
19,gangly,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/gangly.png,<Surface(64x64x32 SW)>,0,waldrim,4,1
14,bee,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/bee.png,<Surface(64x64x32 SW)>,0,inat,3,0
43,crab,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/crab.png,<Surface(64x64x32 SW)>,0,uppin,3,0
30,pellet,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/pellet.png,<Surface(64x64x32 SW)>,0,pij,2,1
0,cat,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/cat.png,<Surface(64x64x32 SW)>,0,fakki,3,0
35,whatevs,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/whatevs.png,<Surface(64x64x32 SW)>,0,plun,2,1
40,alien,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/alien.png,<Surface(64x64x32 SW)>,0,hibble,3,1
17,pawsie,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/pawsie.png,<Surface(64x64x32 SW)>,0,jasi,3,1
23,cthulhu,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/cthulhu.png,<Surface(64x64x32 SW)>,0,bint,2,1
26,tentliclor,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/tentliclor.png,<Surface(64x64x32 SW)>,0,plag,2,1
4,octopus,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/octopus.png,<Surface(64x64x32 SW)>,0,nurti,3,0
38,tree,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/tree.png,<Surface(64x64x32 SW)>,0,worplenerp,5,1
18,antennae,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/antennae.png,<Surface(64x64x32 SW)>,0,dracoo,4,1
13,chick,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/chick.png,<Surface(64x64x32 SW)>,0,arbo,3,0
31,mjolnir,/Users/Marcus/Desktop/Projects/Language aquisition research tool (LART)/SL_data/obj_images/mjolnir.png,<Surface(64x64x32 SW)>,0,gaz,2,1
